Location,Monsoon,Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Total
Changi Beach,North East,2019,77.71,78.29,68.33,60.45,90.35,117.26,80.54,59.48,31.57,24.08,55.61,54.27,797.93
East Coast Beach Park,South West,2019,35.87,36.14,49.69,67.17,81.31,130.29,208.8,202.77,107.63,90.29,61.79,60.3,1132.03
End of Lim Chu Kang Road,South West,2019,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2
Labrador Beach,South West,2019,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.3
Pasir Ris Beach Park,North East,2019,105,115,120,80,55,50,51,52,52,52,80,100,912
Pulau Serangoon (Coney Island) Beach,North East,2019,31,31,31,32,17,16,17,16,17,17,30,30,285
Punggol Point Beach,North East,2019,43,44,43,42,30,28,22,20,19,18,41,41,391
Sembawang Beach,North East,2019,3.9,3.7,4.2,3.4,2,1.8,1.8,1.5,1.6,1.3,3.8,4,33
Shoreline along Admiralty Road West,North East,2019,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.9
Tanah Merah Beach,North East,2019,5.98,6.02,6.21,6.72,9.03,13.03,8.95,8.11,4.31,6.02,6.18,6.03,86.58
Changi Beach,North East,2020,78.19,78.71,78.41,53.78,50.34,84.16,90.05,57.63,29.84,26.37,49.58,41.5,718.57
East Coast Beach Park,South West,2020,45.61,45.92,57.02,92.2,140.96,182.35,233.46,198.64,105.32,86.33,59.79,66.05,1313.66
End of Lim Chu Kang Road,South West,2020,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3
Labrador Beach,South West,2020,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.3
Pasir Ris Beach Park,North East,2020,80,82,85,80,50,45,45,48,48,50,75,78,766
Pulau Serangoon (Coney Island) Beach,North East,2020,26,26,25,24,13,13,14,14,14,14,24,26,233
Punggol Point Beach,North East,2020,32,32,31,31,30,29,23,21,20,21,28,30,328
Sembawang Beach,North East,2020,3.2,3.1,2.9,2.6,1.8,1.6,1.6,1.5,1.6,1.5,3.1,3.2,27.7
Shoreline along Admiralty Road West,North East,2020,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,2
Tanah Merah Beach,North East,2020,6.52,6.56,7.13,7.68,10.07,14.03,10.01,8.67,6.52,5.95,6.22,5.82,95.17
Changi Beach,North East,2021,138.7,145.46,160.23,157.96,53.19,31.01,38.43,30.29,44.18,26.56,98.59,83.99,1008.57
East Coast Beach Park,South West,2021,87.84,92.12,138.66,136.7,199.47,116.28,144.13,113.57,165.69,99.59,57.51,48.99,1400.54
End of Lim Chu Kang Road,South West,2021,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.2,1.32
Labrador Beach,South West,2021,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.3
Pasir Ris Beach Park,North East,2021,78,77,72,77,63,66,65,67,67,71,72,79,854
Pulau Serangoon (Coney Island) Beach,North East,2021,24,25,23,24,16,17,18,18,18,19,22,24,248
Punggol Point Beach,North East,2021,34,33,31,33,27,28,28,29,29,30,31,34,367
Sembawang Beach,North East,2021,3.2,3.1,2.6,2.4,2.1,1.7,1.6,1.5,1.7,2.2,3.1,3.2,28.4
Shoreline along Admiralty Road West,North East,2021,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,2.1
Tanah Merah Beach,North East,2021,4.62,4.85,9.24,9.11,13.3,7.75,9.61,7.57,11.05,6.64,8.22,7,98.96
Changi Beach,North East,2022,69.83,86.82,79.96,62.25,35.56,37.59,52.67,38.32,41.03,55.52,93.04,184.92,837.51
East Coast Beach Park,South West,2022,46.56,57.88,53.31,41.5,74.08,78.31,98.79,79.84,85.48,92.84,63.45,83.45,855.49
End of Lim Chu Kang Road,South West,2022,0.1,0.1,0.11,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.12,0.15,1.3
Labrador Beach,South West,2022,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.3
Pasir Ris Beach Park,North East,2022,77,73,71,64,64,64,65,68,75,75,73,75,844
Pulau Serangoon (Coney Island) Beach,North East,2022,24,23,23,16,16,16,16,18,24,24,23,24,247
Punggol Point Beach,North East,2022,33,31,31,27,28,27,28,29,32,32,31,32,361
Sembawang Beach,North East,2022,3.1,3.1,2.5,2.3,2,1.7,1.6,1.6,1.8,2.4,3.3,3.4,28.8
Shoreline along Admiralty Road West,North East,2022,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,2.2
Tanah Merah Beach,North East,2022,7.76,9.65,8.88,6.92,8.89,9.4,9.52,9.58,9.72,9.82,9.94,8.45,108.53
Changi Beach,North East,2023,66.45,71.8,78.58,53.11,52.81,49.32,42.5,48.8,46.7,62.03,100.14,167.7,839.94
East Coast Beach Park,South West,2023,47.37,51.58,54.01,45.5,79.34,92.93,129.87,117.79,121.13,89.68,88.54,83.22,1000.96
End of Lim Chu Kang Road,South West,2023,0,0,0,0,0,0,0,0,0,0.15,0.17,0.2,0.52
Labrador Beach,South West,2023,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.3
Pasir Ris Beach Park,North East,2023,73.49,72.16,71.27,68.63,67.36,65.54,71.13,72.32,70.78,70.37,70.69,69.78,843.53
Pulau Serangoon (Coney Island) Beach,North East,2023,23.39,22.32,21.57,18.86,18.31,17.39,22.14,24.17,24.35,30.16,30.29,29.91,282.86
Punggol Point Beach,North East,2023,31.5,30.93,30.55,29.41,28.87,28.09,30.48,31,30.33,24.27,25.3,25.15,345.87
Sembawang Beach,North East,2023,3.3,2.9,2.6,2.3,2,1.7,1.7,1.8,1.9,2.3,3,3.1,28.6
Shoreline along Admiralty Road West,North East,2023,0.4,0.3,0.2,0.15,0.1,0.1,0.1,0.1,0.15,0.15,0.25,0.3,2.3
Tanah Merah Beach,North East,2023,6.43,8.41,7.56,7.49,8.62,8.45,9.82,9.48,9.67,10.12,9.97,11.42,107.44
